generador-1  | Hit rate: 44.29% (31/70)
generador-1  | [CACHÉ HIT] Independencia → 5 eventos (2 ms)
generador-1  | Hit rate: 45.07% (32/71)
generador-1  | [CACHÉ HIT] Independencia → 5 eventos (2 ms)
generador-1  | Hit rate: 45.83% (33/72)
generador-1  | [CACHÉ HIT] Independencia → 5 eventos (2 ms)
generador-1  | Hit rate: 46.58% (34/73)
generador-1  | [CACHÉ HIT] Renca → 1 eventos (2 ms)
generador-1  | Hit rate: 47.30% (35/74)
generador-1  | [CACHÉ MISS] BRAGA → 2 eventos desde MongoDB (49 ms)
generador-1  | Hit rate: 46.67% (35/75)
generador-1  | [CACHÉ MISS] Recoleta → 5 eventos desde MongoDB (3 ms)
generador-1  | Hit rate: 46.05% (35/76)
generador-1  | [CACHÉ MISS] Lo Prado → 5 eventos desde MongoDB (7 ms)
generador-1  | Hit rate: 45.45% (35/77)
generador-1  | [CACHÉ MISS] Ñuñoa → 5 eventos desde MongoDB (10 ms)
generador-1  | Hit rate: 44.87% (35/78)
generador-1  | [CACHÉ MISS] Salindres → 2 eventos desde MongoDB (59 ms)
generador-1  | Hit rate: 44.30% (35/79)
generador-1  | [CACHÉ MISS] Estación Central → 5 eventos desde MongoDB (3 ms)
generador-1  | Hit rate: 43.75% (35/80)
generador-1  | [CACHÉ MISS] Providencia → 5 eventos desde MongoDB (5 ms)
generador-1  | Hit rate: 43.21% (35/81)
generador-1  | [CACHÉ HIT] Salindres → 2 eventos (3 ms)
generador-1  | Hit rate: 43.90% (36/82)
generador-1  | [CACHÉ HIT] Salindres → 2 eventos (2 ms)
generador-1  | Hit rate: 44.58% (37/83)
generador-1  | [CACHÉ MISS] BRAGA → 2 eventos desde MongoDB (49 ms)
generador-1  | Hit rate: 44.05% (37/84)
generador-1  | [CACHÉ MISS] Quinta Normal → 5 eventos desde MongoDB (3 ms)
generador-1  | Hit rate: 43.53% (37/85)
generador-1  | [CACHÉ MISS] Ñuñoa → 5 eventos desde MongoDB (12 ms)
generador-1  | Hit rate: 43.02% (37/86)
generador-1  | [CACHÉ HIT] Providencia → 5 eventos (2 ms)
generador-1  | Hit rate: 43.68% (38/87)
generador-1  | [CACHÉ MISS] Lo Prado → 5 eventos desde MongoDB (8 ms)
generador-1  | Hit rate: 43.18% (38/88)
generador-1  | [CACHÉ MISS] Independencia → 5 eventos desde MongoDB (3 ms)
generador-1  | Hit rate: 42.70% (38/89)
generador-1  | [CACHÉ HIT] Independencia → 5 eventos (3 ms)
generador-1  | Hit rate: 43.33% (39/90)
generador-1  | [CACHÉ MISS] Santiago → 5 eventos desde MongoDB (8 ms)
generador-1  | Hit rate: 42.86% (39/91)
generador-1  | [CACHÉ MISS] BRAGA → 2 eventos desde MongoDB (43 ms)
generador-1  | Hit rate: 42.39% (39/92)
generador-1  | [CACHÉ MISS] Quinta Normal → 5 eventos desde MongoDB (5 ms)
generador-1  | Hit rate: 41.94% (39/93)
generador-1  | [CACHÉ MISS] Renca → 1 eventos desde MongoDB (43 ms)
generador-1  | Hit rate: 41.49% (39/94)
generador-1  | [CACHÉ MISS] Lo Prado → 5 eventos desde MongoDB (5 ms)
generador-1  | Hit rate: 41.05% (39/95)
generador-1  | [CACHÉ HIT] Lo Prado → 5 eventos (2 ms)
generador-1  | Hit rate: 41.67% (40/96)
generador-1  | [CACHÉ MISS] Estación Central → 5 eventos desde MongoDB (5 ms)
generador-1  | Hit rate: 41.24% (40/97)
generador-1  | [CACHÉ HIT] Lo Prado → 5 eventos (2 ms)
generador-1  | Hit rate: 41.84% (41/98)
generador-1  | [CACHÉ MISS] Santiago → 5 eventos desde MongoDB (6 ms)
generador-1  | Hit rate: 41.41% (41/99)
generador-1  | [CACHÉ MISS] Ñuñoa → 5 eventos desde MongoDB (9 ms)
generador-1  | Hit rate: 41.00% (41/100)
generador-1  | [CACHÉ MISS] Salindres → 2 eventos desde MongoDB (57 ms)
generador-1  | Hit rate: 40.59% (41/101)
generador-1  | [CACHÉ MISS] Providencia → 5 eventos desde MongoDB (2 ms)
generador-1  | Hit rate: 40.20% (41/102)
generador-1  | [CACHÉ MISS] Recoleta → 5 eventos desde MongoDB (3 ms)
generador-1  | Hit rate: 39.81% (41/103)
generador-1  | [CACHÉ HIT] Recoleta → 5 eventos (3 ms)
generador-1  | Hit rate: 40.38% (42/104)
generador-1  | [CACHÉ MISS] Lo Prado → 5 eventos desde MongoDB (6 ms)
generador-1  | Hit rate: 40.00% (42/105)
generador-1  | [CACHÉ MISS] Quinta Normal → 5 eventos desde MongoDB (3 ms)
generador-1  | Hit rate: 39.62% (42/106)
generador-1  | [CACHÉ HIT] Lo Prado → 5 eventos (2 ms)
generador-1  | Hit rate: 40.19% (43/107)
generador-1  | [CACHÉ HIT] Recoleta → 5 eventos (3 ms)
generador-1  | Hit rate: 40.74% (44/108)
generador-1  | [CACHÉ MISS] Independencia → 5 eventos desde MongoDB (3 ms)
generador-1  | Hit rate: 40.37% (44/109)
generador-1  | [CACHÉ HIT] Lo Prado → 5 eventos (2 ms)
generador-1  | Hit rate: 40.91% (45/110)
generador-1  | [CACHÉ HIT] Quinta Normal → 5 eventos (2 ms)
generador-1  | Hit rate: 41.44% (46/111)
generador-1  | [CACHÉ MISS] BRAGA → 2 eventos desde MongoDB (73 ms)
generador-1  | Hit rate: 41.07% (46/112)
generador-1  | [CACHÉ HIT] Independencia → 5 eventos (2 ms)
generador-1  | Hit rate: 41.59% (47/113)
generador-1  | [CACHÉ MISS] Providencia → 5 eventos desde MongoDB (3 ms)
generador-1  | Hit rate: 41.23% (47/114)
generador-1  | [CACHÉ MISS] Ñuñoa → 5 eventos desde MongoDB (10 ms)
generador-1  | Hit rate: 40.87% (47/115)
