comuna,tipo,fecha,descripcion
Santiago,Peligro,2025-04-19T01:00:08.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T14:16:15.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T06:53:40.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T02:18:14.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T12:31:45.000Z,"Av. Libertador Bernardo O'Higgins"
Recoleta,Peligro,2025-04-21T08:20:05.000Z,"Av. Recoleta"
Santiago,Peligro,2025-04-19T10:04:22.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T18:27:07.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T04:26:43.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Congestión,2025-06-29T22:26:42.804Z,"Compañía de Jesús"
Santiago,Peligro,2025-04-20T19:16:41.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T14:16:39.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T06:57:07.000Z,"Av. Libertador Bernardo O'Higgins"
Estación Central,Policía,2025-04-21T08:28:23.000Z,"Coronel Godoy"
Santiago,Peligro,2025-04-20T12:34:36.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T00:37:44.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T04:27:35.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T18:30:18.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-18T14:01:36.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Otro,2025-06-29T22:26:42.805Z,"Salvador Sanfuentes"
Recoleta,Otro,2025-06-29T22:26:42.805Z,"Patronato"
Providencia,Otro,2025-06-29T22:26:42.805Z,"Ramón Carnicer"
Santiago,Peligro,2025-04-20T14:21:01.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T18:32:21.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T12:41:12.000Z,"Av. Libertador Bernardo O'Higgins"
Quinta Normal,Otro,2025-06-29T22:26:42.805Z,"Aguirre"
Santiago,Peligro,2025-04-20T00:39:08.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T04:30:07.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T19:17:23.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T10:17:54.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T14:36:06.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T07:08:09.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T12:43:17.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T15:02:56.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T19:23:47.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T02:19:57.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T00:45:26.000Z,"Av. Libertador Bernardo O'Higgins"
Estación Central,Otro,2025-06-29T22:26:42.805Z,"Av. María Rozas Velásquez"
Santiago,Peligro,2025-04-20T04:32:52.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T10:19:11.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T18:33:00.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T07:15:17.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T04:34:57.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T14:36:45.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-18T22:54:59.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T00:45:59.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T19:23:59.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T14:51:28.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T18:34:30.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T02:21:41.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T12:46:19.000Z,"Av. Libertador Bernardo O'Higgins"
Independencia,Otro,2025-06-29T22:26:42.805Z,"Picarte"
Santiago,Peligro,2025-04-20T00:48:06.000Z,"Av. Libertador Bernardo O'Higgins"
